movie_title,Watch[1] or Not[0]
From Paris with LoveåÊ,3
Bulletproof MonkåÊ,3
"Me, Myself & IreneåÊ",8
BarnyardåÊ,8
Deck the HallsåÊ,3
The Twilight Saga: New MoonåÊ,5
ShrekåÊ,2
The Adjustment BureauåÊ,0
Robin Hood: Prince of ThievesåÊ,6
Jerry MaguireåÊ,6
TedåÊ,2
As Good as It GetsåÊ,6
Patch AdamsåÊ,4
Anchorman 2: The Legend ContinuesåÊ,7
Mr. DeedsåÊ,4
Super 8åÊ,4
Erin BrockovichåÊ,4
How to Lose a Guy in 10 DaysåÊ,4
22 Jump StreetåÊ,6
Interview with the Vampire: The Vampire ChroniclesåÊ,4
Yes ManåÊ,4
Central IntelligenceåÊ,4
StepmomåÊ,8
Daddy's HomeåÊ,6
Into the WoodsåÊ,4
Inside ManåÊ,8
PaybackåÊ,8
CongoåÊ,8
We Bought a ZooåÊ,8
KnowingåÊ,8
Failure to LaunchåÊ,8
The Ring TwoåÊ,8
"Crazy, Stupid, Love.åÊ",8
GarfieldåÊ,8
Christmas with the KranksåÊ,8
MoneyballåÊ,8
OutbreakåÊ,8
Non-StopåÊ,8
Race to Witch MountainåÊ,8
V for VendettaåÊ,8
Shanghai KnightsåÊ,0
UnforgottenåÊ            ,3
Curious GeorgeåÊ,0
Herbie Fully LoadedåÊ,8
Don't Say a WordåÊ,0
Hansel & Gretel: Witch HuntersåÊ,0
UnfaithfulåÊ,0
I Am Number FouråÊ,0
SyrianaåÊ,0
13 HoursåÊ,0
The Book of LifeåÊ,0
FirewallåÊ,0
Absolute PoweråÊ,0
G.I. JaneåÊ,0
The GameåÊ,0
Silent HillåÊ,0
The ReplacementsåÊ,0
American ReunionåÊ,0
The NegotiatoråÊ,0
Into the StormåÊ,0
Beverly Hills Cop IIIåÊ,0
Gremlins 2: The New BatchåÊ,0
The JudgeåÊ,0
The PeacemakeråÊ,0
Resident Evil: ApocalypseåÊ,0
Bridget Jones: The Edge of ReasonåÊ,0
Out of TimeåÊ,0
On Deadly GroundåÊ,0
The Adventures of Sharkboy and Lavagirl 3-DåÊ,0
The BeachåÊ,0
Raising HelenåÊ,0
Ninja AssassinåÊ,0
For Love of the GameåÊ,3
A Touch of FroståÊ            ,3
StripteaseåÊ,3
MarmadukeåÊ,3
HereafteråÊ,3
Murder by NumbersåÊ,3
AssassinsåÊ,3
Hannibal RisingåÊ,3
The Story of UsåÊ,3
The HoståÊ,3
BasicåÊ,3
Blood WorkåÊ,3
The InternationalåÊ,3
Escape from L.A.åÊ,3
TwistedåÊ            ,3
The Iron GiantåÊ,3
The Life Aquatic with Steve ZissouåÊ,3
Free State of JonesåÊ,3
The Life of David GaleåÊ,3
Man of the HouseåÊ,3
Run All NightåÊ,3
Eastern PromisesåÊ,3
Into the BlueåÊ,3
The Messenger: The Story of Joan of ArcåÊ,7
Your HighnessåÊ,3
Dream HouseåÊ,3
Mad CityåÊ,7
Baby's Day OutåÊ,3
The Scarlet LetteråÊ,7
Fair GameåÊ,7
DefianceåÊ            ,3
DominoåÊ,7
JadeåÊ,7
GameråÊ,3
Beautiful CreaturesåÊ,3
Death to SmoochyåÊ,7
Zoolander 2åÊ,3
The Big BounceåÊ,7
What Planet Are You From?åÊ,7
Drive AngryåÊ,7
Street Fighter: The Legend of Chun-LiåÊ,7
The OneåÊ,0
OutlanderåÊ            ,3
The Adventures of Ford FairlaneåÊ,3
Pirate RadioåÊ,7
TrafficåÊ,4
Indiana Jones and the Last CrusadeåÊ,2
Anna KareninaåÊ,7
ChappieåÊ,3
The Bone CollectoråÊ,8
Panic RoomåÊ,8
The Tooth FairyåÊ,3
Three KingsåÊ,0
Child 44åÊ,7
Rat RaceåÊ,0
K-PAXåÊ,0
Kate & LeopoldåÊ,0
BedazzledåÊ,0
The Cotton ClubåÊ,3
3:10 to YumaåÊ,0
Taken 3åÊ,8
Out of SightåÊ,0
The Cable GuyåÊ,0
EarthåÊ,7
Dick TracyåÊ,4
The Thomas Crown AffairåÊ,8
Riding in Cars with BoysåÊ,3
First BloodåÊ,3
SolarisåÊ,3
Happily N'Ever AfteråÊ,3
Mary ReillyåÊ,7
My Best Friend's WeddingåÊ,4
America's SweetheartsåÊ,8
InsomniaåÊ,8
Star Trek: First ContactåÊ,8
Jonah HexåÊ,7
Courage Under FireåÊ,0
Liar LiaråÊ,6
The InfiltratoråÊ,3
InchonåÊ,3
The FlintstonesåÊ,4
Taken 2åÊ,4
Scary Movie 3åÊ,4
Miss CongenialityåÊ,4
Journey to the Center of the EarthåÊ,4
The Princess Diaries 2: Royal EngagementåÊ,8
The Pelican BriefåÊ,4
The ClientåÊ,8
The Bucket ListåÊ,8
Patriot GamesåÊ,8
Monster-in-LawåÊ,8
PrisonersåÊ,0
Training DayåÊ,8
Galaxy QueståÊ,8
Scary Movie 2åÊ,8
The MuppetsåÊ,8
BladeåÊ,8
Coach CarteråÊ,8
Changing LanesåÊ,8
AnacondaåÊ,8
Coyote UglyåÊ,0
Love ActuallyåÊ,0
A Bug's LifeåÊ,6
From HellåÊ,3
The SpecialiståÊ,0
Tin CupåÊ,0
"Yours, Mine and OursåÊ",3
Kicking & ScreamingåÊ,0
The Hitchhiker's Guide to the GalaxyåÊ,0
Fat AlbertåÊ,0
Resident Evil: ExtinctionåÊ,0
BlendedåÊ,0
Last HolidayåÊ,0
The River WildåÊ,0
The Indian in the CupboardåÊ,3
SavagesåÊ,0
CellularåÊ,3
Johnny EnglishåÊ,3
The Ant BullyåÊ,3
DuneåÊ,3
Across the UniverseåÊ,3
Revolutionary RoadåÊ,3
16 BlocksåÊ,0
Babylon A.D.åÊ,3
The Glimmer ManåÊ,3
MultiplicityåÊ,3
Aliens in the AtticåÊ,3
The PledgeåÊ,3
The ProducersåÊ,3
DreddåÊ,7
The PhantomåÊ,3
All the Pretty HorsesåÊ,3
NixonåÊ,7
The Ghost WriteråÊ,3
Deep RisingåÊ,7
Miracle at St. AnnaåÊ,7
Curse of the Golden FloweråÊ,7
Bangkok DangerousåÊ,3
Big TroubleåÊ,7
Love in the Time of CholeraåÊ,7
The ReturnedåÊ            ,3
Shadow ConspiracyåÊ,7
Johnny English RebornåÊ,7
Foodfight!åÊ,3
ArgoåÊ,4
The FugitiveåÊ,6
The Bounty HunteråÊ,8
SleepersåÊ,0
Rambo: First Blood Part IIåÊ,6
The JuroråÊ,0
PinocchioåÊ,8
Heaven's GateåÊ,7
Underworld: EvolutionåÊ,0
Victor FrankensteinåÊ,7
Finding ForresteråÊ,0
28 DaysåÊ,0
UnleashedåÊ,3
The Sweetest ThingåÊ,3
The FirmåÊ,6
Charlie St. CloudåÊ,3
The MechanicåÊ,3
21 Jump StreetåÊ,4
Notting HillåÊ,4
Chicken RunåÊ,4
Along Came PollyåÊ,8
BoomerangåÊ,8
The HeatåÊ,6
CleopatraåÊ,0
Here Comes the BoomåÊ,0
High CrimesåÊ,0
The Mirror Has Two FacesåÊ,0
The Mothman PropheciesåÊ,3
BrÌ_noåÊ,0
Licence to KillåÊ,3
Red Riding HoodåÊ,0
15 MinutesåÊ,3
Super Mario Bros.åÊ,3
Lord of WaråÊ,3
HeroåÊ,7
One for the MoneyåÊ,3
The InterviewåÊ,7
The Warrior's WayåÊ,7
McHale's NavyåÊ            ,3
MicmacsåÊ,7
8 MileåÊ,4
Animal Kingdom: Let's go ApeåÊ,3
A Knight's TaleåÊ,0
The MedallionåÊ,3
The Sixth SenseåÊ,5
Man on a LedgeåÊ,3
The Big YearåÊ,7
The Karate KidåÊ,8
American HustleåÊ,6
The ProposalåÊ,6
Double JeopardyåÊ,4
Back to the Future Part IIåÊ,4
LucyåÊ,4
Fifty Shades of GreyåÊ,6
Spy Kids 3-D: Game OveråÊ,4
A Time to KillåÊ,4
Cheaper by the DozenåÊ,4
Lone SurvivoråÊ,4
A League of Their OwnåÊ,4
The Conjuring 2åÊ,4
The Social NetworkåÊ,4
He's Just Not That Into YouåÊ,8
Scary Movie 4åÊ,8
Scream 3åÊ,8
Back to the Future Part IIIåÊ,8
Get HardåÊ,8
Bram Stoker's DraculaåÊ,8
Julie & JuliaåÊ,8
42åÊ,8
The Talented Mr. RipleyåÊ,8
Dumb and Dumber ToåÊ,8
Eight BelowåÊ,8
The InternåÊ,8
Ride Along 2åÊ,8
The Last of the MohicansåÊ,8
RayåÊ,8
Sin CityåÊ,8
Vantage PointåÊ,8
"I Love You, ManåÊ",8
Shallow HalåÊ,8
JFKåÊ,8
Big Momma's House 2åÊ,8
The MexicanåÊ,8
UnbrokenåÊ,4
17 AgainåÊ,8
The Other WomanåÊ,8
The Final DestinationåÊ,8
Bridge of SpiesåÊ,8
Behind Enemy LinesåÊ,0
Get Him to the GreekåÊ,0
Shall We DanceåÊ,0
Small SoldiersåÊ,0
SpawnåÊ,0
The Count of Monte CristoåÊ,0
The Lincoln LawyeråÊ,0
UnknownåÊ,0
The PrestigeåÊ,0
Horrible Bosses 2åÊ,0
Escape from Planet EarthåÊ,0
ApocalyptoåÊ,0
The Living DaylightsåÊ,0
PredatorsåÊ,0
Legal EaglesåÊ,0
Secret WindowåÊ,0
The Lake HouseåÊ,0
The Skeleton KeyåÊ,0
The Odd Life of Timothy GreenåÊ,0
Made of HonoråÊ,0
Jersey BoysåÊ,0
The RainmakeråÊ,0
GothikaåÊ,0
AmistadåÊ,0
Medicine ManåÊ,0
Aliens vs. Predator: RequiemåÊ,0
Riå¢hie Riå¢håÊ,0
Autumn in New YorkåÊ,0
Music and LyricsåÊ,0
PaulåÊ,0
The Guilt TripåÊ,0
Scream 4åÊ,0
8MMåÊ,3
The DoorsåÊ,3
Sex TapeåÊ,0
Hanging UpåÊ,3
Final Destination 5åÊ,0
Mickey Blue EyesåÊ,3
Pay It ForwardåÊ,3
Fever PitchåÊ,0
ArthuråÊ            ,3
Drillbit TayloråÊ,3
A Million Ways to Die in the WeståÊ,0
The ShadowåÊ,3
Extremely Loud & Incredibly CloseåÊ,3
Morning GloryåÊ,3
Get Rich or Die Tryin'åÊ,3
The Art of WaråÊ,3
RentåÊ,3
Bless the ChildåÊ,3
The Out-of-TownersåÊ,3
The Island of Dr. MoreauåÊ,3
The MusketeeråÊ,3
The Other Boleyn GirlåÊ,3
Sweet NovemberåÊ,3
The ReapingåÊ,3
Mean StreetsåÊ,7
Renaissance ManåÊ,3
ColombianaåÊ,3
The Magic Sword: Quest for CamelotåÊ,3
City by the SeaåÊ,3
At First SightåÊ,3
TorqueåÊ,3
City HallåÊ,3
ShowgirlsåÊ,3
Marie AntoinetteåÊ,3
Kiss of DeathåÊ,3
Get CarteråÊ,3
The ImpossibleåÊ,3
IshtaråÊ,7
Fantastic Mr. FoxåÊ,3
Life or Something Like ItåÊ,7
Memoirs of an Invisible ManåÊ,7
AmÌ©lieåÊ,3
New York MinuteåÊ,7
AlfieåÊ,7
Big MiracleåÊ,3
The Deep End of the OceanåÊ,7
FeardotcomåÊ,7
Cirque du Freak: The Vampire's AssistantåÊ,7
Victor FrankensteinåÊ,7
DuplexåÊ,7
Soul MenåÊ,7
Raise the TitanicåÊ,7
Universal Soldier: The ReturnåÊ,7
PandorumåÊ,7
ImpostoråÊ,7
Extreme OpsåÊ,7
Just VisitingåÊ,7
SunshineåÊ,7
A Thousand WordsåÊ,3
DelgoåÊ,7
The GunmanåÊ,7
Alex Rider: Operation StormbreakeråÊ,7
DisturbiaåÊ,8
HackersåÊ,7
The Hunting PartyåÊ,7
The Hudsucker ProxyåÊ,7
The WarlordsåÊ,7
Nomad: The WarrioråÊ,7
SnowpierceråÊ,7
A Monster in ParisåÊ,3
The Last ShotåÊ,7
The CrowåÊ,0
Baahubali: The BeginningåÊ,7
The Time Traveler's WifeåÊ,8
Because I Said SoåÊ,0
The Fast and the FuriousåÊ,6
FrankenweenieåÊ,3
SerenityåÊ,3
Against the RopesåÊ,7
Superman IIIåÊ,0
Grudge MatchåÊ,3
Red CliffåÊ,7
Sweet Home AlabamaåÊ,4
The Ugly TruthåÊ,8
Sgt. BilkoåÊ,3
Spy Kids 2: Island of Lost DreamsåÊ,8
Star Trek: GenerationsåÊ,8
The GrandmasteråÊ,7
Water for ElephantsåÊ,0
3rd Rock from the SunåÊ            ,3
Dragon Nest: Warriors' DawnåÊ,3
The HurricaneåÊ,0
EnoughåÊ,0
HeartbreakersåÊ,0
Paul Blart: Mall Cop 2åÊ,8
Angel EyesåÊ,3
Joe SomebodyåÊ,3
The Ninth GateåÊ,3
Extreme MeasuresåÊ,3
Rock StaråÊ,3
PreciousåÊ,0
White SquallåÊ,7
The ThingåÊ,7
RiddickåÊ,0
SwitchbackåÊ,7
Texas RangersåÊ,7
City of EmberåÊ,7
The MasteråÊ,3
Virgin TerritoryåÊ,3
The ExpressåÊ,7
The 5th WaveåÊ,3
CreedåÊ,4
The TownåÊ,8
What to Expect When You're ExpectingåÊ,0
Burn After ReadingåÊ,0
Nim's IslandåÊ,0
RushåÊ,3
MagnoliaåÊ,3
Cop OutåÊ,0
How to Be SingleåÊ,0
Dolphin TaleåÊ,8
TwilightåÊ,6
John QåÊ,8
Blue StreakåÊ,8
We're the MillersåÊ,6
Obitaemyy ostrovåÊ,3
BreakdownåÊ,0
Never Say Never AgainåÊ,0
Hot Tub Time MachineåÊ,0
Dolphin Tale 2åÊ,0
Reindeer GamesåÊ,3
A Man ApartåÊ,3
AlohaåÊ,3
Ghosts of MississippiåÊ,7
Snow Falling on CedarsåÊ,7
The RiteåÊ,3
GattacaåÊ,7
Isn't She GreatåÊ,7
Space ChimpsåÊ,3
Head of StateåÊ,0
The HangoveråÊ,5
Ip Man 3åÊ,7
Austin Powers: The Spy Who Shagged MeåÊ,2
BatmanåÊ,2
There Be DragonsåÊ,7
Lethal Weapon 3åÊ,6
The Blind SideåÊ,2
Rush HouråÊ            ,3
Spy KidsåÊ,4
Horrible BossesåÊ,4
True GritåÊ,6
The Devil Wears PradaåÊ,4
Star Trek: The Motion PictureåÊ,8
Identity ThiefåÊ,4
Cape FearåÊ,8
21åÊ,8
TrainwreckåÊ,4
Guess WhoåÊ,8
The English PatientåÊ,8
L.A. ConfidentialåÊ,8
Sky HighåÊ,8
In & OutåÊ,8
SpeciesåÊ,0
A Nightmare on Elm StreetåÊ,3
The CellåÊ,0
The Man in the Iron MaskåÊ,0
SecretariatåÊ,0
TMNTåÊ,0
RadioåÊ,0
Friends with BenefitsåÊ,0
Neighbors 2: Sorority RisingåÊ,0
Saving Mr. BanksåÊ,8
Malcolm XåÊ,0
This Is 40åÊ,8
Old DogsåÊ,0
Underworld: Rise of the LycansåÊ,0
License to WedåÊ,0
The BenchwarmersåÊ,0
Must Love DogsåÊ,0
Donnie BrascoåÊ,0
Resident EvilåÊ,0
PoltergeiståÊ,8
The LadykillersåÊ,0
Max PayneåÊ,0
In TimeåÊ,0
The Back-up PlanåÊ,0
Something BorrowedåÊ,0
Hit the FlooråÊ            ,3
Black KnightåÊ,3
The Bad News BearsåÊ,3
Street FighteråÊ,3
The PianiståÊ,3
From HellåÊ,3
The Nativity StoryåÊ,0
House of WaxåÊ,3
CloseråÊ,3
J. EdgaråÊ,0
MirrorsåÊ,3
Queen of the DamnedåÊ,3
Predator 2åÊ,3
UntraceableåÊ,3
Blast from the PaståÊ,3
Flash GordonåÊ,3
Jersey GirlåÊ,3
Alex CrossåÊ,3
Midnight in the Garden of Good and EvilåÊ,3
HeiståÊ,3
Nanny McPhee ReturnsåÊ,3
HoffaåÊ,3
The X Files: I Want to BelieveåÊ,3
Ella EnchantedåÊ,3
ConcussionåÊ,3
AbductionåÊ,3
ValiantåÊ,3
Wonder BoysåÊ,3
Superhero MovieåÊ,3
Broken CityåÊ,3
CursedåÊ,3
Premium RushåÊ,3
Hot PursuitåÊ,3
The Four FeathersåÊ,3
ParkeråÊ,3
WimbledonåÊ,3
Furry VengeanceåÊ,3
BaitåÊ,3
KrullåÊ,3
Lions for LambsåÊ,3
Flight of the IntruderåÊ,7
Walk Hard: The Dewey Cox StoryåÊ,3
The Shipping NewsåÊ,7
American OutlawsåÊ,7
The Young VictoriaåÊ,7
WhiteoutåÊ,7
The Tree of LifeåÊ,7
Knock OffåÊ,7
SabotageåÊ,7
The OrderåÊ,7
Punisher: War ZoneåÊ,7
ZoomåÊ,7
The WalkåÊ,7
Warriors of VirtueåÊ,7
A Good YearåÊ,7
LutheråÊ            ,3
Radio FlyeråÊ,7
"Blood In, Blood OutåÊ",7
Smilla's Sense of SnowåÊ,7
Femme FataleåÊ,7
Lion of the DesertåÊ,3
The Horseman on the RoofåÊ,7
Ride with the DevilåÊ,7
BiutifulåÊ,7
The LoversåÊ,3
BandidasåÊ,3
Black Water TransitåÊ,3
The Maze RunneråÊ,4
Unfinished BusinessåÊ,7
The Age of InnocenceåÊ,3
The FountainåÊ,7
Chill FactoråÊ,7
StolenåÊ,7
PonyoåÊ,3
The Longest RideåÊ,0
The Astronaut's WifeåÊ,7
I Dreamed of AfricaåÊ,7
Playing for KeepsåÊ,7
Mandela: Long Walk to FreedomåÊ,7
RedsåÊ,3
A Few Good MenåÊ,6
Exit WoundsåÊ,0
Big Momma's HouseåÊ,4
Thunder and the House of MagicåÊ,7
The Darkest HouråÊ,3
Step Up RevolutionåÊ,3
Snakes on a PlaneåÊ,3
The WatcheråÊ,3
The PunisheråÊ,3
Goal! The Dream BeginsåÊ,7
SafeåÊ,3
Pushing TinåÊ,7
Star Wars: Episode VI - Return of the JediåÊ,5
DoomsdayåÊ,7
The ReaderåÊ,3
WanderluståÊ,3
ElfåÊ,6
PhenomenonåÊ,4
Snow DogsåÊ,8
ScroogedåÊ,0
Nacho LibreåÊ,8
BridesmaidsåÊ,6
This Is the EndåÊ,4
StigmataåÊ,0
Men of HonoråÊ,0
TakersåÊ,0
The Big WeddingåÊ,3
"Big Mommas: Like Father, Like SonåÊ",0
Source CodeåÊ,0
AliveåÊ,0
The Number 23åÊ,3
The Young and Prodigious T.S. SpivetåÊ,7
1941åÊ,3
Dreamer: Inspired by a True StoryåÊ,3
A History of ViolenceåÊ,3
Transporter 2åÊ,0
The Quick and the DeadåÊ,3
Laws of AttractionåÊ,3
Bringing Out the DeadåÊ,3
Repo MenåÊ,7
Dragon Wars: D-WaråÊ,7
BogusåÊ,7
The Incredible Burt WonderstoneåÊ,3
Cats Don't DanceåÊ,7
Cradle Will RockåÊ,7
The Good GermanåÊ,7
George and the DragonåÊ,3
Apocalypse NowåÊ,8
Going the DistanceåÊ,3
Mr. Holland's OpusåÊ,8
CriminalåÊ,7
Out of AfricaåÊ,8
FlightåÊ,8
MoonrakeråÊ,8
The Grand Budapest HotelåÊ,0
Hearts in AtlantisåÊ,3
ArachnophobiaåÊ,0
FrequencyåÊ,0
GhostbustersåÊ,4
VacationåÊ,0
Get ShortyåÊ,8
ChicagoåÊ,6
Big DaddyåÊ,6
American Pie 2åÊ,6
Toy StoryåÊ,6
SpeedåÊ,4
The VowåÊ,4
Extraordinary MeasuresåÊ,7
Remember the TitansåÊ,4
The Hunt for Red OctoberåÊ,4
Lee Daniels' The ButleråÊ,4
Dodgeball: A True Underdog StoryåÊ,4
The Addams FamilyåÊ,4
Ace Ventura: When Nature CallsåÊ,4
The Princess DiariesåÊ,4
The First Wives ClubåÊ,4
Se7enåÊ,4
District 9åÊ,4
The SpongeBob SquarePants MovieåÊ,8
Mystic RiveråÊ,8
Million Dollar BabyåÊ,4
Analyze ThisåÊ,4
The NotebookåÊ,7
27 DressesåÊ,8
Hannah Montana: The MovieåÊ,8
Rugrats in Paris: The MovieåÊ,8
The Prince of TidesåÊ,8
Legends of the FallåÊ,8
Up in the AiråÊ,8
About SchmidtåÊ,8
Warm BodiesåÊ,8
LooperåÊ,8
Down to EarthåÊ,8
BabeåÊ,8
Hope SpringsåÊ,8
Forgetting Sarah MarshallåÊ,8
Friday Night LightsåÊ            ,3
Four BrothersåÊ,8
Baby MamaåÊ,0
Hope FloatsåÊ,0
Bride WarsåÊ,0
Without a PaddleåÊ,0
13 Going on 30åÊ,0
Midnight in ParisåÊ,0
The Nut JobåÊ,8
BlowåÊ,0
Message in a BottleåÊ,0
Star Trek V: The Final FrontieråÊ,0
Like MikeåÊ,0
Naked Gun 33 1/3: The Final InsultåÊ,0
A View to a KillåÊ,0
The Curse of the Were-RabbitåÊ,0
P.S. I Love YouåÊ,0
Racing StripesåÊ,0
AtonementåÊ,0
Letters to JulietåÊ,0
Black RainåÊ,0
The Three StoogesåÊ,0
Corpse BrideåÊ,0
Glory RoadåÊ,0
SicarioåÊ,0
SouthpawåÊ,0
Drag Me to HellåÊ,0
The Age of AdalineåÊ,0
Secondhand LionsåÊ,0
Step Up 3DåÊ,0
Blue CrushåÊ,0
Stranger Than FictionåÊ,0
30 Days of NightåÊ,0
The Cabin in the WoodsåÊ,0
Meet the SpartansåÊ,0
Midnight RunåÊ,0
The Running ManåÊ,0
Little Shop of HorrorsåÊ,0
HannaåÊ,0
The FamilyåÊ            ,3
Mortal Kombat: AnnihilationåÊ,3
Larry CrowneåÊ,3
CarrieåÊ,3
Take the LeadåÊ,3
EntourageåÊ            ,3
Gridiron GangåÊ,0
What's the Worst That Could Happen?åÊ,3
9åÊ,3
Side EffectsåÊ,3
The Prince and MeåÊ,3
Winnie the PoohåÊ,3
Dumb and Dumberer: When Harry Met LloydåÊ,3
BulworthåÊ,3
Get on UpåÊ,3
One True ThingåÊ,3
VirtuosityåÊ,3
My Super Ex-GirlfriendåÊ,3
Deliver Us from EvilåÊ,3
SanctumåÊ,3
Little Black BookåÊ,3
The Five-Year EngagementåÊ,3
Mr 3000åÊ,3
The Next Three DaysåÊ,3
UltravioletåÊ,3
Assault on Precinct 13åÊ,3
The Replacement KillersåÊ,3
FledåÊ,3
Eight Legged FreaksåÊ,3
Love & Other DrugsåÊ,3
88 MinutesåÊ,3
North CountryåÊ,3
The Whole Ten YardsåÊ,3
SpliceåÊ,3
Howard the DuckåÊ,3
Pride and GloryåÊ,3
The CaveåÊ,3
Alex & EmmaåÊ,7
Wicker ParkåÊ,7
Fright NightåÊ,3
The New WorldåÊ,7
Wing CommanderåÊ,7
In DreamsåÊ,7
Dragonball: EvolutionåÊ,7
The Last StandåÊ,7
GodsendåÊ,7
Chasing LibertyåÊ,7
Hoodwinked Too! Hood vs. EvilåÊ,7
An Unfinished LifeåÊ,7
The Imaginarium of Doctor ParnassusåÊ,7
Barney's VersionåÊ,7
TrappedåÊ            ,3
Runner RunneråÊ,3
AntitruståÊ,7
GloryåÊ,3
Once Upon a Time in AmericaåÊ,7
Dead Man DownåÊ,7
The Merchant of VeniceåÊ,7
The Good ThiefåÊ,7
SupercrossåÊ,7
Miss PotteråÊ,7
The PromiseåÊ,7
DOA: Dead or AliveåÊ,7
The Assassination of Jesse James by the Coward Robert FordåÊ,7
1911åÊ,7
Little NicholasåÊ,3
Wild CardåÊ,3
Machine Gun PreacheråÊ,7
Animals UnitedåÊ,3
The Color of FreedomåÊ,3
United PassionsåÊ,3
Grace of MonacoåÊ,3
A Warrior's TailåÊ,3
Ripley's GameåÊ,3
Sausage PartyåÊ,3
Pitch Perfect 2åÊ,6
Walk the LineåÊ,4
12 MonkeysåÊ            ,3
Keeping the FaithåÊ,0
The BorrowersåÊ,3
Frost/NixonåÊ,3
Confessions of a Dangerous MindåÊ,3
Serving SaraåÊ,3
The BossåÊ,8
Cry FreedomåÊ,7
MumfordåÊ,7
Seed of ChuckyåÊ,3
The JacketåÊ,7
AladdinåÊ,2
Straight Outta ComptonåÊ,6
Indiana Jones and the Temple of DoomåÊ,6
The Rugrats MovieåÊ,4
Along Came a SpideråÊ,8
Florence Foster JenkinsåÊ,3
Once Upon a Time in MexicoåÊ,0
Die HardåÊ,8
Role ModelsåÊ,8
The Big ShortåÊ,8
Taking WoodstockåÊ,7
MiracleåÊ,8
Dawn of the DeadåÊ,0
The Wedding PlanneråÊ,0
Harlock: Space PirateåÊ,3
The Royal TenenbaumsåÊ,0
IdentityåÊ,0
Last VegasåÊ,8
For Your Eyes OnlyåÊ,0
SerendipityåÊ,0
TimecopåÊ,0
ZoolanderåÊ,0
Safe HavenåÊ,8
Hocus PocusåÊ,0
No ReservationsåÊ,0
Kick-AssåÊ,0
30 Minutes or LessåÊ,0
Dracula 2000åÊ,3
"Alexander and the Terrible, Horrible, No Good, Very Bad DayåÊ",8
Pride & PrejudiceåÊ,0
Blade RunneråÊ,3
Rob RoyåÊ,3
3 Days to KillåÊ,3
We Own the NightåÊ,3
Lost SoulsåÊ,3
Winged MigrationåÊ,7
Just My LuckåÊ,3
"Mystery, AlaskaåÊ",7
The Spy Next DooråÊ,3
A Simple WishåÊ,7
Ghosts of MarsåÊ,7
Our Brand Is CrisisåÊ,7
Pride and Prejudice and ZombiesåÊ,7
KundunåÊ,7
How to Lose Friends & Alienate PeopleåÊ,7
Kick-Ass 2åÊ,3
Captain Alatriste: The Spanish MusketeeråÊ,3
Brick MansionsåÊ,3
OctopussyåÊ,8
Knocked UpåÊ,6
My Sister's KeeperåÊ,0
"Welcome Home, Roscoe JenkinsåÊ",0
A Passage to IndiaåÊ,3
Notes on a ScandalåÊ,3
RenditionåÊ,7
LimitlessåÊ            ,3
Star Trek VI: The Undiscovered CountryåÊ,8
Divine Secrets of the Ya-Ya SisterhoodåÊ,8
The Jungle BookåÊ,1
Kiss the GirlsåÊ,0
The Blues BrothersåÊ,0
The Sisterhood of the Traveling Pants 2åÊ,0
Joyful NoiseåÊ,3
About a BoyåÊ,0
Lake PlacidåÊ,3
Lucky Number SlevinåÊ,3
The Right StuffåÊ,3
AnonymousåÊ,7
The NeverEnding StoryåÊ,3
Dark CityåÊ,7
The DuchessåÊ,7
The HoneymoonersåÊ            ,3
Return to OzåÊ,3
The Newton BoysåÊ,7
Case 39åÊ,7
Suspect ZeroåÊ,7
Martian ChildåÊ,7
Spy Kids: All the Time in the World in 4DåÊ,0
Money MonsteråÊ,0
Formula 51åÊ,7
FlawlessåÊ,7
MindhuntersåÊ,7
What Just HappenedåÊ,7
The StatementåÊ,7
The Magic FluteåÊ,3
Paul Blart: Mall CopåÊ,3
Freaky FridayåÊ,4
The 40-Year-Old VirginåÊ,4
Shakespeare in LoveåÊ,4
A Walk Among the TombstonesåÊ,3
Kindergarten CopåÊ,8
Pineapple ExpressåÊ,8
Ever After: A Cinderella StoryåÊ,8
Open RangeåÊ,0
FlatlinersåÊ,0
It's Always Sunny in PhiladelphiaåÊ            ,3
A Bridge Too FaråÊ,0
Red EyeåÊ,0
Final Destination 2åÊ,0
"O Brother, Where Art Thou?åÊ",0
LegionåÊ,0
Pain & GainåÊ,0
In Good CompanyåÊ,0
ClockstoppersåÊ,0
SilveradoåÊ,3
BrothersåÊ,3
Agent Cody Banks 2: Destination LondonåÊ,3
New Year's EveåÊ,0
Original SinåÊ,3
The RavenåÊ,3
Welcome to MooseportåÊ,7
Highlander: The Final DimensionåÊ,7
Blood and WineåÊ,7
Snow White: A Tale of TerroråÊ,3
The Curse of the Jade ScorpionåÊ,7
Accidental LoveåÊ,3
FlipperåÊ,3
Self/lessåÊ,7
The Constant GardeneråÊ,3
The Passion of the ChriståÊ,7
Mrs. DoubtfireåÊ,2
Rain ManåÊ,6
Gran TorinoåÊ,6
W.åÊ,3
TakenåÊ,6
The Best of MeåÊ,3
The BodyguardåÊ,4
Schindler's ListåÊ,8
The HelpåÊ,6
The Fifth EstateåÊ,7
Scooby-Doo 2: Monsters UnleashedåÊ,8
ViyåÊ,3
Freddy vs. JasonåÊ,8
The Face of an AngelåÊ,3
Jimmy Neutron: Boy GeniusåÊ,8
CloverfieldåÊ,8
Teenage Mutant Ninja Turtles II: The Secret of the OozeåÊ,8
The UntouchablesåÊ,8
No Country for Old MenåÊ,8
Ride AlongåÊ,4
